TABLE  ,LTM_Filter,,,,
ANGL,0,,,,
WAVE,0.3,0.84758,0.84758,4.12E-07,4.12E-07
WAVE,0.32,0.48243,0.48243,4.00E-07,4.00E-07
WAVE,0.34,0.14562,0.14562,2.82E-07,2.82E-07
WAVE,0.36,0.028234,0.028234,1.70E-07,1.70E-07
WAVE,0.38,0.0028581,0.0028581,1.20E-07,1.20E-07
WAVE,0.4,0.0045122,0.0045122,8.40E-08,8.40E-08
WAVE,0.42,0.0092986,0.0092986,6.20E-08,6.20E-08
WAVE,0.44,0.011104,0.011104,4.98E-08,4.98E-08
WAVE,0.46,0.0098383,0.0098383,4.01E-08,4.01E-08
WAVE,0.48,0.0075732,0.0075732,3.21E-08,3.21E-08
WAVE,0.5,0.0056039,0.0056039,2.89E-08,2.89E-08
WAVE,0.52,0.0054557,0.0054557,2.54E-08,2.54E-08
WAVE,0.54,0.0071182,0.0071182,2.29E-08,2.29E-08
WAVE,0.56,0.0080106,0.0080106,2.08E-08,2.08E-08
WAVE,0.58,0.0068717,0.0068717,2.19E-08,2.19E-08
WAVE,0.6,0.0053152,0.0053152,2.26E-08,2.26E-08
WAVE,0.62,0.0039747,0.0039747,2.24E-08,2.24E-08
WAVE,0.64,0.0035161,0.0035161,2.33E-08,2.33E-08
WAVE,0.66,0.0038493,0.0038493,2.48E-08,2.48E-08
WAVE,0.68,0.0050393,0.0050393,2.55E-08,2.55E-08
WAVE,0.7,0.0068092,0.0068092,2.74E-08,2.74E-08
WAVE,0.72,0.0090396,0.0090396,3.02E-08,3.02E-08
WAVE,0.74,0.011757,0.011757,3.84E-08,3.84E-08
WAVE,0.76,0.014764,0.014764,5.41E-08,5.41E-08
WAVE,0.78,0.017957,0.017957,8.40E-08,8.40E-08
WAVE,0.8,0.021067,0.021067,1.51E-07,1.51E-07
WAVE,0.82,0.024071,0.024071,2.63E-07,2.63E-07
WAVE,0.84,0.027322,0.027322,4.23E-07,4.23E-07
WAVE,0.86,0.030808,0.030808,6.17E-07,6.17E-07
WAVE,0.88,0.034388,0.034388,9.01E-07,9.01E-07
WAVE,0.9,0.038495,0.038495,1.01E-06,1.01E-06
WAVE,0.92,0.043209,0.043209,1.12E-06,1.12E-06
WAVE,0.94,0.048986,0.048986,9.23E-07,9.23E-07
WAVE,0.96,0.055161,0.055161,8.03E-07,8.03E-07
WAVE,0.98,0.061315,0.061315,7.28E-07,7.28E-07
WAVE,1,0.067814,0.067814,6.46E-07,6.46E-07
,,,,,
,,,,,
ANGL,10,,,,
WAVE,0.3,0.82619,0.82929,4.11E-07,4.18E-07
WAVE,0.32,0.43473,0.45137,3.91E-07,4.02E-07
WAVE,0.34,0.11994,0.13067,2.64E-07,2.76E-07
WAVE,0.36,0.021122,0.024102,1.63E-07,1.71E-07
WAVE,0.38,0.0024801,0.0020876,1.11E-07,1.16E-07
WAVE,0.4,0.0059383,0.0043038,8.02E-08,8.41E-08
WAVE,0.42,0.010732,0.008987,5.81E-08,6.09E-08
WAVE,0.44,0.012057,0.010713,4.66E-08,4.87E-08
WAVE,0.46,0.010289,0.0095145,3.87E-08,4.04E-08
WAVE,0.48,0.0076821,0.0074299,3.22E-08,3.35E-08
WAVE,0.5,0.005593,0.0056665,2.70E-08,2.82E-08
WAVE,0.52,0.0054981,0.0056588,2.46E-08,2.56E-08
WAVE,0.54,0.0073204,0.0073752,2.27E-08,2.36E-08
WAVE,0.56,0.0083767,0.0082378,2.10E-08,2.19E-08
WAVE,0.58,0.0073275,0.007043,2.13E-08,2.22E-08
WAVE,0.6,0.005803,0.0054585,2.19E-08,2.28E-08
WAVE,0.62,0.0044572,0.0041452,2.18E-08,2.26E-08
WAVE,0.64,0.0039933,0.0037957,2.40E-08,2.49E-08
WAVE,0.66,0.0043299,0.004285,2.43E-08,2.52E-08
WAVE,0.68,0.0055472,0.0056687,2.54E-08,2.64E-08
WAVE,0.7,0.0073701,0.0076401,2.71E-08,2.82E-08
WAVE,0.72,0.009676,0.010074,2.93E-08,3.04E-08
WAVE,0.74,0.012505,0.012984,3.65E-08,3.80E-08
WAVE,0.76,0.015651,0.016159,5.46E-08,5.66E-08
WAVE,0.78,0.018994,0.019502,8.58E-08,8.89E-08
WAVE,0.8,0.022271,0.022712,1.46E-07,1.51E-07
WAVE,0.82,0.025427,0.025802,2.55E-07,2.65E-07
WAVE,0.84,0.028816,0.029159,4.19E-07,4.34E-07
WAVE,0.86,0.032429,0.032762,6.18E-07,6.40E-07
WAVE,0.88,0.036125,0.036466,8.52E-07,8.83E-07
WAVE,0.9,0.040336,0.040729,9.90E-07,1.03E-06
WAVE,0.92,0.045155,0.045624,1.05E-06,1.09E-06
WAVE,0.94,0.051039,0.051622,9.52E-07,9.86E-07
WAVE,0.96,0.057328,0.058013,8.12E-07,8.42E-07
WAVE,0.98,0.063602,0.064356,7.26E-07,7.53E-07
WAVE,1,0.070222,0.07104,6.52E-07,6.75E-07
,,,,,
,,,,,
ANGL,20,,,,
WAVE,0.3,0.73853,0.76706,4.12E-07,4.41E-07
WAVE,0.32,0.29891,0.36578,3.42E-07,3.89E-07
WAVE,0.34,0.061995,0.094587,2.15E-07,2.57E-07
WAVE,0.36,0.0087124,0.014976,1.31E-07,1.59E-07
WAVE,0.38,0.0046747,0.000685,9.26E-08,1.12E-07
WAVE,0.4,0.011158,0.0038994,6.84E-08,8.24E-08
WAVE,0.42,0.015055,0.0081885,5.21E-08,6.24E-08
WAVE,0.44,0.014628,0.0097478,4.12E-08,4.90E-08
WAVE,0.46,0.011305,0.0088328,3.37E-08,4.00E-08
WAVE,0.48,0.0077486,0.0073272,2.90E-08,3.42E-08
WAVE,0.5,0.0054347,0.0061433,2.45E-08,2.88E-08
WAVE,0.52,0.0056225,0.0064959,2.29E-08,2.68E-08
WAVE,0.54,0.008057,0.0082919,2.03E-08,2.39E-08
WAVE,0.56,0.0096836,0.0090197,1.87E-08,2.20E-08
WAVE,0.58,0.0089397,0.007663,1.99E-08,2.33E-08
WAVE,0.6,0.0075326,0.0060393,2.07E-08,2.41E-08
