TABLE  ,LTM_Filter_n1.5_to_Air,,,,
ANGL,0,,,,
WAVE,0.3,0.81501,0.81501,1.03E-13,1.03E-13
WAVE,0.32,0.5744,0.5744,7.66E-14,7.66E-14
WAVE,0.34,0.33997,0.33997,5.45E-14,5.45E-14
WAVE,0.36,0.18661,0.18661,3.63E-14,3.63E-14
WAVE,0.38,0.10191,0.10191,2.79E-14,2.79E-14
WAVE,0.4,0.050689,0.050689,2.11E-14,2.11E-14
WAVE,0.42,0.022844,0.022844,1.65E-14,1.65E-14
WAVE,0.44,0.0096821,0.0096821,1.33E-14,1.33E-14
WAVE,0.46,0.0041335,0.0041335,1.10E-14,1.10E-14
WAVE,0.48,0.0020845,0.0020845,8.89E-15,8.89E-15
WAVE,0.5,0.0017036,0.0017036,7.80E-15,7.80E-15
WAVE,0.52,0.0022721,0.0022721,6.87E-15,6.87E-15
WAVE,0.54,0.0023669,0.0023669,6.35E-15,6.35E-15
WAVE,0.56,0.0037852,0.0037852,5.88E-15,5.88E-15
WAVE,0.58,0.007671,0.007671,6.05E-15,6.05E-15
WAVE,0.6,0.014419,0.014419,6.51E-15,6.51E-15
WAVE,0.62,0.024101,0.024101,6.87E-15,6.87E-15
WAVE,0.64,0.036296,0.036296,7.56E-15,7.56E-15
WAVE,0.66,0.049877,0.049877,8.39E-15,8.39E-15
WAVE,0.68,0.0641,0.0641,8.96E-15,8.96E-15
WAVE,0.7,0.077871,0.077871,1.02E-14,1.02E-14
WAVE,0.72,0.090982,0.090982,1.23E-14,1.23E-14
WAVE,0.74,0.1026,0.1026,1.89E-14,1.89E-14
WAVE,0.76,0.11255,0.11255,3.83E-14,3.83E-14
WAVE,0.78,0.12154,0.12154,9.27E-14,9.27E-14
WAVE,0.8,0.12831,0.12831,2.77E-13,2.77E-13
WAVE,0.82,0.13526,0.13526,7.63E-13,7.63E-13
WAVE,0.84,0.14332,0.14332,1.87E-12,1.87E-12
WAVE,0.86,0.1522,0.1522,4.06E-12,4.06E-12
WAVE,0.88,0.16194,0.16194,7.31E-12,7.31E-12
WAVE,0.9,0.17344,0.17344,9.52E-12,9.52E-12
WAVE,0.92,0.18605,0.18605,1.06E-11,1.06E-11
WAVE,0.94,0.20056,0.20056,7.86E-12,7.86E-12
WAVE,0.96,0.21452,0.21452,5.92E-12,5.92E-12
WAVE,0.98,0.22676,0.22676,4.52E-12,4.52E-12
WAVE,1,0.23884,0.23884,3.63E-12,3.63E-12
ANGL,10,,,,
WAVE,0.3,0.77078,0.78176,9.24E-14,1.00E-13
WAVE,0.32,0.50932,0.534,6.64E-14,7.34E-14
WAVE,0.34,0.2874,0.31079,4.66E-14,5.23E-14
WAVE,0.36,0.15232,0.16957,3.11E-14,3.52E-14
WAVE,0.38,0.080781,0.092932,2.41E-14,2.73E-14
WAVE,0.4,0.038595,0.046707,1.84E-14,2.09E-14
WAVE,0.42,0.016613,0.021729,1.45E-14,1.65E-14
WAVE,0.44,0.0070702,0.010086,1.18E-14,1.34E-14
WAVE,0.46,0.0036532,0.0052008,9.77E-15,1.11E-14
WAVE,0.48,0.0028016,0.0032968,7.98E-15,9.08E-15
WAVE,0.5,0.0028967,0.0028366,7.05E-15,8.02E-15
WAVE,0.52,0.0037664,0.0034276,6.24E-15,7.09E-15
WAVE,0.54,0.0038856,0.0034259,5.80E-15,6.59E-15
WAVE,0.56,0.0054445,0.0051554,5.39E-15,6.12E-15
WAVE,0.58,0.0095744,0.0097199,5.57E-15,6.32E-15
WAVE,0.6,0.016621,0.017255,6.01E-15,6.81E-15
WAVE,0.62,0.026633,0.027744,6.36E-15,7.20E-15
WAVE,0.64,0.039208,0.040688,7.02E-15,7.93E-15
WAVE,0.66,0.053123,0.054931,7.81E-15,8.82E-15
WAVE,0.68,0.067639,0.069723,8.35E-15,9.42E-15
WAVE,0.7,0.08164,0.083961,9.50E-15,1.07E-14
WAVE,0.72,0.094934,0.097451,1.15E-14,1.29E-14
WAVE,0.74,0.1067,0.10934,1.77E-14,1.99E-14
WAVE,0.76,0.11678,0.11946,3.60E-14,4.04E-14
WAVE,0.78,0.12588,0.12859,8.71E-14,9.78E-14
WAVE,0.8,0.13271,0.13541,2.61E-13,2.92E-13
WAVE,0.82,0.1397,0.14244,7.18E-13,8.05E-13
WAVE,0.84,0.1478,0.15061,1.76E-12,1.97E-12
WAVE,0.86,0.15671,0.15962,3.83E-12,4.28E-12
WAVE,0.88,0.16646,0.16955,6.89E-12,7.71E-12
WAVE,0.9,0.17797,0.18132,8.98E-12,1.00E-11
WAVE,0.92,0.19058,0.19423,9.95E-12,1.11E-11
WAVE,0.94,0.20511,0.20912,7.42E-12,8.31E-12
WAVE,0.96,0.21907,0.22341,5.59E-12,6.26E-12
WAVE,0.98,0.23132,0.23592,4.27E-12,4.78E-12
WAVE,1,0.24341,0.24823,3.43E-12,3.84E-12
ANGL,20,,,,
WAVE,0.3,0.58822,0.67203,6.20E-14,9.05E-14
WAVE,0.32,0.321,0.42352,4.12E-14,6.52E-14
WAVE,0.34,0.15757,0.23753,2.84E-14,4.71E-14
WAVE,0.36,0.074232,0.12887,1.93E-14,3.27E-14
WAVE,0.38,0.0355,0.072941,1.54E-14,2.62E-14
WAVE,0.4,0.015093,0.039412,1.21E-14,2.07E-14
WAVE,0.42,0.0069568,0.02166,9.75E-15,1.67E-14
WAVE,0.44,0.0057877,0.013801,8.14E-15,1.40E-14
WAVE,0.46,0.0071461,0.010483,6.89E-15,1.18E-14
WAVE,0.48,0.0088262,0.0087908,5.74E-15,9.86E-15
WAVE,0.5,0.0096839,0.007996,5.17E-15,8.86E-15
WAVE,0.52,0.011004,0.0086109,4.65E-15,7.95E-15
WAVE,0.54,0.010881,0.0083179,4.39E-15,7.48E-15
WAVE,0.56,0.012629,0.010995,4.13E-15,7.02E-15
WAVE,0.58,0.017312,0.017609,4.32E-15,7.29E-15
WAVE,0.6,0.025104,0.0275,4.70E-15,7.91E-15
WAVE,0.62,0.035971,0.040386,5.01E-15,8.39E-15
WAVE,0.64,0.049555,0.055524,5.57E-15,9.29E-15
WAVE,0.66,0.064359,0.071689,6.23E-15,1.04E-14
WAVE,0.68,0.079653,0.088115,6.71E-15,1.11E-14
