TABLE  ,LTM_Filter,,,,
ANGL,0,,,,
WAVE,0.3,0.81579,0.81579,4.98E-07,4.98E-07
WAVE,0.32,0.50714,0.50714,3.81E-07,3.81E-07
WAVE,0.34,0.23867,0.23867,2.52E-07,2.52E-07
WAVE,0.36,0.10794,0.10794,1.56E-07,1.56E-07
WAVE,0.38,0.049955,0.049955,1.14E-07,1.14E-07
WAVE,0.4,0.029011,0.029011,8.19E-08,8.19E-08
WAVE,0.42,0.02844,0.02844,6.08E-08,6.08E-08
WAVE,0.44,0.036876,0.036876,4.85E-08,4.85E-08
WAVE,0.46,0.048583,0.048583,3.86E-08,3.86E-08
WAVE,0.48,0.060759,0.060759,3.04E-08,3.04E-08
WAVE,0.5,0.068558,0.068558,2.71E-08,2.71E-08
WAVE,0.52,0.07276,0.07276,2.37E-08,2.37E-08
WAVE,0.54,0.075127,0.075127,2.14E-08,2.14E-08
WAVE,0.56,0.072268,0.072268,1.94E-08,1.94E-08
WAVE,0.58,0.065786,0.065786,2.06E-08,2.06E-08
WAVE,0.6,0.060446,0.060446,2.14E-08,2.14E-08
WAVE,0.62,0.057735,0.057735,2.12E-08,2.12E-08
WAVE,0.64,0.059164,0.059164,2.20E-08,2.20E-08
WAVE,0.66,0.06284,0.06284,2.34E-08,2.34E-08
WAVE,0.68,0.068383,0.068383,2.39E-08,2.39E-08
WAVE,0.7,0.074444,0.074444,2.55E-08,2.55E-08
WAVE,0.72,0.080696,0.080696,2.80E-08,2.80E-08
WAVE,0.74,0.086947,0.086947,3.54E-08,3.54E-08
WAVE,0.76,0.092672,0.092672,4.99E-08,4.99E-08
WAVE,0.78,0.097895,0.097895,7.72E-08,7.72E-08
WAVE,0.8,0.10179,0.10179,1.38E-07,1.38E-07
WAVE,0.82,0.10519,0.10519,2.41E-07,2.41E-07
WAVE,0.84,0.10909,0.10909,3.87E-07,3.87E-07
WAVE,0.86,0.11336,0.11336,5.64E-07,5.64E-07
WAVE,0.88,0.11778,0.11778,8.24E-07,8.24E-07
WAVE,0.9,0.12314,0.12314,9.24E-07,9.24E-07
WAVE,0.92,0.1293,0.1293,1.02E-06,1.02E-06
WAVE,0.94,0.13683,0.13683,8.38E-07,8.38E-07
WAVE,0.96,0.14432,0.14432,7.27E-07,7.27E-07
WAVE,0.98,0.15102,0.15102,6.59E-07,6.59E-07
WAVE,1,0.15781,0.15781,5.84E-07,5.84E-07
,,,,,
,,,,,
ANGL,10,,,,
WAVE,0.3,0.76216,0.77537,4.76E-07,4.92E-07
WAVE,0.32,0.42466,0.45599,3.41E-07,3.68E-07
WAVE,0.34,0.18809,0.20821,2.15E-07,2.38E-07
WAVE,0.36,0.084026,0.092392,1.35E-07,1.50E-07
WAVE,0.38,0.039913,0.041739,9.80E-08,1.09E-07
WAVE,0.4,0.026893,0.024499,7.37E-08,8.19E-08
WAVE,0.42,0.030652,0.025613,5.58E-08,6.19E-08
WAVE,0.44,0.041305,0.034667,4.39E-08,4.87E-08
WAVE,0.46,0.053998,0.046385,3.41E-08,3.79E-08
WAVE,0.48,0.066481,0.058242,2.86E-08,3.17E-08
WAVE,0.5,0.074126,0.06564,2.47E-08,2.74E-08
WAVE,0.52,0.078192,0.069622,2.21E-08,2.44E-08
WAVE,0.54,0.08025,0.07169,1.95E-08,2.16E-08
WAVE,0.56,0.077307,0.068963,1.89E-08,2.09E-08
WAVE,0.58,0.070914,0.063012,1.93E-08,2.13E-08
WAVE,0.6,0.065739,0.058363,1.92E-08,2.12E-08
WAVE,0.62,0.063236,0.056416,2.06E-08,2.26E-08
WAVE,0.64,0.064927,0.058597,2.18E-08,2.40E-08
WAVE,0.66,0.068823,0.062972,2.20E-08,2.42E-08
