Wavelength(nm)	n	k
360	1.5300165	0
368	1.5286071	0
376	1.5272919	0
384	1.5260624	0
392	1.524911	0
400	1.523831	0
408	1.5228163	0
416	1.5218616	0
424	1.5209619	0
432	1.5201129	0
440	1.5193107	0
448	1.5185517	0
456	1.5178326	0
464	1.5171506	0
472	1.5165029	0
480	1.5158871	0
488	1.5153011	0
496	1.5147427	0
504	1.5142102	0
512	1.5137017	0
520	1.5132157	0
528	1.5127509	0
536	1.5123058	0
544	1.5118792	0
552	1.5114699	0
560	1.511077	0
568	1.5106995	0
576	1.5103363	0
584	1.5099868	0
592	1.5096501	0
600	1.5093255	0
608	1.5090123	0
616	1.5087098	0
624	1.5084176	0
632	1.508135	0
640	1.5078614	0
648	1.5075965	0
656	1.5073398	0
664	1.5070908	0
672	1.5068492	0
680	1.5066145	0
688	1.5063863	0
696	1.5061645	0
704	1.5059485	0
712	1.5057381	0
720	1.5055331	0
728	1.5053329	0
736	1.5051375	0
744	1.5049463	0
752	1.504759	0
760	1.5045748	0
768	1.5043926	0
776	1.5042096	0
784	1.5040139	0
792	1.5036079	0
800	1.5038433	0
808	1.5036281	0
816	1.5034567	0
824	1.5032964	0
832	1.5031418	0
840	1.5029914	0
848	1.5028443	0
856	1.5027002	0
864	1.5025586	0
872	1.5024196	0
880	1.5022828	0
888	1.5021482	0
896	1.5020156	0
904	1.5018849	0
912	1.5017561	0
920	1.501629	0
928	1.5015036	0
936	1.5013798	0
944	1.5012575	0
952	1.5011366	0
960	1.5010171	0
968	1.5008989	0
976	1.500782	0
984	1.5006663	0
992	1.5005517	0
1000	1.5004382	0
